cons_fixed05_mean,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0208814523408,0.0772233019488,0.493157998455,0.0465238228383,955.528833296,32548.4607
cons_fixed05_random,0.0,0.05,0.113533368352,0.300309493465,0.0472126412819,0.737354260407,1091.96092644,27365.09,0.0952693124621,0.303473101628,0.0276254038253,0.713949416446,1162.80818408,29630.0154
cons_fixed05_total,1.0,0.0,nan,nan,nan,nan,nan,nan,0.00063817349353,0.0281264048597,0.0645170540659,-0.00534207140285,770.141556175,24087.9441
cons_fixed10_mean,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0173044670057,0.0472879027107,0.443594674494,0.0100648181606,558.812585454,20223.9994
cons_fixed10_random,0.52,0.22,0.0802469856449,0.282028945084,0.19276357516,0.412581577499,1431.65572318,42945.9745455,0.0728837178392,0.260340586982,0.300001372695,0.348555296887,1458.21868337,48250.1466
cons_fixed10_total,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0011034872511,0.0218187372619,0.0510930251452,-0.0102109269082,395.086356404,13125.4577
cons_fixed20_mean,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0147514516846,0.0355280296543,0.410710746209,-0.0100631386942,336.277345457,12990.6981
cons_fixed20_random,0.99,0.0,nan,nan,nan,nan,nan,nan,0.0305084734656,0.12523985164,0.317133917458,0.0800460978279,864.255835466,32644.2198
cons_fixed20_total,1.0,0.0,nan,nan,nan,nan,nan,nan,0.00553353274354,0.0966255029412,0.123669804972,-0.0250839080701,335.682974513,12446.9708
cons_last_mean,1.0,0.0,nan,nan,nan,nan,nan,nan,0.00270328116796,0.0185992643731,0.0829381191488,0.00920575595536,200.551201096,13452.969
cons_last_random,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0131123298894,0.095968435,0.138704283488,0.0812359441875,412.511180758,20900.4464
cons_last_total,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0003786596896,0.00477346890669,0.0345971157443,-0.0128649537556,123.007300444,6166.3353
cons_mean_mean,0.48,0.52,0.0445914672696,0.324647047832,0.00813426339075,0.273383778739,765.729451285,26224.1128846,0.0249158984376,0.216048405279,0.0521180064333,0.131250638626,1491.9940176,61989.5156
cons_mean_random,0.01,0.96,0.0365767861424,0.324765863,0.00822373512704,0.178404564065,1944.78164212,63521.0826042,0.0355955320209,0.325714966191,0.0090068849033,0.166750689616,2288.54203075,77838.829
cons_mean_total,0.57,0.42,0.0448309682343,0.324752190798,0.00764873728794,0.318345812603,810.660267035,29255.2702381,0.0209510293105,0.191810473984,0.0441685608119,0.124692869124,1417.8102408,59538.2457
test,0.0,0.1,0.103514558768,0.259584774569,0.00140648603342,0.739075929793,108.013767004,26080.0,0.0939653733856,0.310092654744,0.0174924601493,0.710258899274,125.853908706,30509.168
stable,0.0,1.0,0.0297983559159,0.307489240873,0.00447368464044,0.173214651046,458.414366233,14369.0793,0.026074282293,0.30084485851,0.0078985203399,0.101442431626,2297.75952335,78726.0701
